# Session started at 2026-01-19 00:34:24
# timestamp_ms, trigger_code, label
2758.506, 12, flash_left
2995.303, 11, flash_down
3215.768, 10, flash_up
3635.742, 12, flash_left
3868.318, 13, flash_right
4085.155, 11, flash_down
4319.615, 10, flash_up
4735.943, 13, flash_right
4970.446, 11, flash_down
5188.608, 12, flash_left
5418.931, 10, flash_up
5836.206, 11, flash_down
6054.500, 13, flash_right
6294.390, 12, flash_left
6515.543, 10, flash_up
6937.508, 11, flash_down
7157.934, 10, flash_up
7389.165, 13, flash_right
7608.660, 12, flash_left
8045.237, 11, flash_down
8265.669, 13, flash_right
8482.750, 12, flash_left
8715.548, 10, flash_up
9132.924, 12, flash_left
9368.721, 11, flash_down
9588.719, 13, flash_right
9808.241, 10, flash_up
10242.366, 13, flash_right
10458.696, 12, flash_left
10692.773, 10, flash_up
10910.217, 11, flash_down
11342.657, 13, flash_right
11560.169, 10, flash_up
11791.903, 11, flash_down
12010.763, 12, flash_left
12110.090, 2, trial_end
17150.236, 20, selection_up
19886.311, 1, trial_start
19886.628, 11, flash_down
20118.605, 13, flash_right
20351.885, 10, flash_up
20569.339, 12, flash_left
21003.193, 13, flash_right
21220.278, 12, flash_left
21452.251, 10, flash_up
21670.097, 11, flash_down
22087.273, 12, flash_left
22321.012, 10, flash_up
22537.973, 11, flash_down
22771.232, 13, flash_right
23188.308, 10, flash_up
23423.668, 11, flash_down
23639.937, 12, flash_left
23871.403, 13, flash_right
24289.210, 11, flash_down
24528.773, 10, flash_up
24746.498, 13, flash_right
24966.698, 12, flash_left
25387.370, 11, flash_down
25624.353, 12, flash_left
25841.108, 13, flash_right
26074.804, 10, flash_up
26491.198, 11, flash_down
26725.429, 10, flash_up
26942.352, 12, flash_left
27176.809, 13, flash_right
27593.005, 11, flash_down
27826.561, 13, flash_right
28044.702, 12, flash_left
28264.676, 10, flash_up
28689.747, 11, flash_down
28927.655, 10, flash_up
29144.332, 13, flash_right
29362.281, 12, flash_left
29794.319, 11, flash_down
30012.717, 10, flash_up
30247.404, 13, flash_right
30466.836, 12, flash_left
30566.915, 2, trial_end
32297.763, 2, trial_end
32899.053, 1, trial_start
32899.343, 10, flash_up
33132.053, 13, flash_right
33354.265, 12, flash_left
# Session ended

# Session started at 2026-01-19 20:32:15
# timestamp_ms, trigger_code, label
# Session started at 2026-01-19 20:38:03
# timestamp_ms, trigger_code, label
9564.916, 1, trial_start
9565.127, 10, flash_up
9802.932, 12, flash_left
10029.099, 11, flash_down
10241.736, 13, flash_right
10683.597, 11, flash_down
10891.577, 13, flash_right
11117.559, 10, flash_up
11341.925, 12, flash_left
11772.416, 12, flash_left
12010.312, 13, flash_right
12220.949, 10, flash_up
12441.533, 11, flash_down
12871.677, 10, flash_up
13099.372, 13, flash_right
13319.848, 12, flash_left
13554.165, 11, flash_down
13970.506, 10, flash_up
14190.562, 12, flash_left
14419.288, 13, flash_right
14665.006, 11, flash_down
15080.206, 13, flash_right
15297.851, 11, flash_down
15536.053, 10, flash_up
15752.268, 12, flash_left
16177.142, 10, flash_up
16414.755, 11, flash_down
16624.095, 13, flash_right
16848.874, 12, flash_left
17283.498, 13, flash_right
17501.941, 12, flash_left
17730.702, 10, flash_up
17944.583, 11, flash_down
18367.146, 11, flash_down
18595.617, 12, flash_left
18820.989, 13, flash_right
19051.023, 10, flash_up
19469.650, 11, flash_down
19700.136, 10, flash_up
19929.000, 13, flash_right
20140.138, 12, flash_left
20254.681, 2, trial_end
# Session ended

# Session started at 2026-01-19 20:42:33
# timestamp_ms, trigger_code, label
# Session ended

# Session started at 2026-01-19 20:43:10
# timestamp_ms, trigger_code, label
# Session ended

# Session started at 2026-01-19 20:57:36
# timestamp_ms, trigger_code, label
# Session ended

# Session started at 2026-01-19 20:59:07
# timestamp_ms, trigger_code, label
# Session ended

# Session started at 2026-01-19 21:05:06
# timestamp_ms, trigger_code, label
# Session ended

